소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']",1164972,65,968,104458,2026-04-04,57,17923.0,0.93,6.71,OFF
신규,의료진정보,주사형비만치료제 10년은,"['대구', '부평', '서울', '수원', '일산', '창원']",2972354,96,1913,310412,2026-04-20,77,30962.0,0.62,5.02,OFF
신규,의료진정보,주사형비만치료제맞고 한의원찾아오신,"['부평', '서울', '수원', '일산', '창원', '천안']",516998,14,389,88030,2026-03-26,41,36928.0,0.44,3.6,OFF
신규,인플방문후기,50대엄마 혈당다이어트(햅삐),"['대구', '부평']",193217,2,121,19586,2026-04-17,31,96608.0,0.62,1.65,OFF
신규,인플방문후기,건강한다이어트(박고경),"['대구', '서울', '수원', '일산', '창원', '천안']",47398,3,21,2054,2026-04-13,13,15799.0,1.02,14.29,OFF
신규,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],261933,15,253,34525,2026-03-26,39,17462.0,0.73,5.93,OFF
신규,인플방문후기,당뇨다이어트(대읽남),['대구'],56566,1,24,9127,2026-04-20,32,56566.0,0.26,4.17,OFF
신규,인플방문후기,더먹어야 다이어트 가능(더먹어유),"['부평', '수원', '창원', '천안']",739499,14,381,73720,2026-04-20,38,52821.0,0.52,3.67,OFF
신규,인플방문후기,먹으면서 다이어트(대읽남),['대구'],2072131,96,1231,265885,2026-04-20,77,21585.0,0.46,7.8,OFF
신규,인플방문후기,먹을거 다먹으면서(미미),"['수원', '창원']",171061,1,66,17488,2026-04-15,29,171061.0,0.38,1.52,OFF
신규,인플방문후기,밥빵면못참는현대인(대전잇츠),['대전'],24480,1,9,3592,2026-04-18,9,24480.0,0.25,11.11,OFF
신규,인플방문후기,밥빵면안당기는원장님(itsmeyuriwon),['일산'],75266,0,51,6009,2026-04-21,14,,0.85,0.0,OFF
신규,인플방문후기,배만 볼록한 대구직장인 다이어트(쭈링),['대구'],162338,4,135,28132,2026-03-27,39,40584.0,0.48,2.96,OFF
신규,인플방문후기,주사형비만치료제(the.hyunniverse),"['대구', '창원']",285116,3,120,26012,2026-04-20,18,95039.0,0.46,2.5,OFF
