소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']",1164972,65,968,104458,2026-04-04,57,17923.0,0.93,6.71,OFF
신규,의료진정보,주사형비만치료제 10년은,"['대구', '서울', '수원', '일산', '창원']",1795792,58,1166,182866,2026-04-15,72,30962.0,0.64,4.97,OFF
신규,의료진정보,주사형비만치료제맞고 한의원찾아오신,"['부평', '서울', '수원', '일산', '창원', '천안']",516998,14,389,88030,2026-03-26,41,36928.0,0.44,3.6,OFF
신규,인플방문후기,50대엄마 혈당다이어트(햅삐),"['대구', '부평']",193217,2,121,19586,2026-04-16,30,96608.0,0.62,1.65,OFF
신규,인플방문후기,건강한다이어트(박고경),"['대구', '서울', '수원', '일산', '창원', '천안']",47398,3,21,2054,2026-04-13,13,15799.0,1.02,14.29,OFF
신규,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],261933,15,253,34525,2026-03-26,39,17462.0,0.73,5.93,OFF
신규,인플방문후기,당뇨다이어트(대읽남),['대구'],56566,1,24,9127,2026-04-14,29,56566.0,0.26,4.17,OFF
신규,인플방문후기,더먹어야 다이어트 가능(더먹어유),"['부평', '수원', '창원', '천안']",739499,14,381,73720,2026-04-16,35,52821.0,0.52,3.67,OFF
신규,인플방문후기,먹으면서 다이어트(대읽남),['대구'],2072131,96,1231,265885,2026-04-16,73,21585.0,0.46,7.8,OFF
신규,인플방문후기,먹을거 다먹으면서(미미),"['수원', '창원']",171061,1,66,17488,2026-04-15,29,171061.0,0.38,1.52,OFF
신규,인플방문후기,배만 볼록한 대구직장인 다이어트(쭈링),['대구'],162338,4,135,28132,2026-03-27,39,40584.0,0.48,2.96,OFF
신규,진료셀프캠,"50대 여성, 뱃살부터 늘어나는 이유","['부평', '창원']",192732,2,155,31448,2026-03-18,37,96366.0,0.49,1.29,OFF
신규,진료셀프캠,다이어트 빼는 게 아니라 찾는 것,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",383181,14,247,53870,2026-03-28,34,27370.0,0.46,5.67,OFF
신규,진료셀프캠,다이어트가 끝난 오늘 꼭 해주고 싶은,['수원'],25424,0,38,8517,2026-03-11,15,,0.45,0.0,OFF
신규,진료셀프캠,명절음식 급찐살 칼로리 문제가 아닙니다,['서울'],11677,0,9,4147,2026-03-15,16,,0.22,0.0,OFF
신규,진료셀프캠,비교하는 순간 다이어트는 실패,['천안'],10764,1,6,2306,2026-02-19,11,10764.0,0.26,16.67,OFF
신규,진료셀프캠,살빼라고했지 적게 먹으라곤,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",216906,4,136,20961,2026-03-07,21,54226.0,0.65,2.94,OFF
신규,진료셀프캠,주사형 비만치료제보다 더중요한이것,"['대구', '대전', '부평', '서울', '수원', '일산', '창원']",6563159,273,4350,707565,2026-04-15,72,24041.0,0.61,6.28,OFF
재가공,리얼모델후기,16kg 충격적인 아이들 반응,['수원'],31398,0,11,2901,2026-04-14,9,,0.38,0.0,OFF
재가공,리얼모델후기,체지방만 14kg 먹으면서,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",112365,0,44,11566,2026-04-15,19,,0.38,0.0,OFF
재가공,방문후기,맘껏 먹는 다이어트,['창원'],51640,0,36,8132,2026-04-01,18,,0.44,0.0,OFF
재가공,방문후기,요요없는,['창원'],59567,1,28,8861,2026-04-01,21,59567.0,0.32,3.57,OFF
재가공,의료진정보,다이어트는 왜 항상 요요로 끝날까,"['부평', '수원']",138986,2,101,21656,2026-03-24,33,69493.0,0.47,1.98,OFF
재가공,의료진정보,무작정운동으로 팩폭,"['수원', '일산', '창원', '천안']",194244,0,118,23014,2026-04-16,11,,0.51,0.0,OFF
재가공,의료진정보,비만주사 굶는다이어트,"['대구', '부평', '서울', '수원', '창원', '천안']",293118,3,113,35437,2026-04-16,28,97706.0,0.32,2.65,OFF
재가공,의료진정보,비만주사요요 탄수중독,"['대구', '부평', '수원', '창원', '천안']",252261,7,109,25727,2026-04-16,27,36037.0,0.42,6.42,OFF
재가공,인플방문후기,"건강한다이어트(대전, 박고경)",['대전'],20933,0,16,3455,2026-04-15,9,,0.46,0.0,OFF
재가공,인플방문후기,"건강한다이어트(서울,박고경)",['서울'],95872,4,54,7361,2026-04-15,19,23968.0,0.73,7.41,OFF
재가공,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],136781,4,48,15373,2026-04-10,30,34195.0,0.31,8.33,OFF
재가공,인플방문후기,맘껏 먹는 다이어트,"['대구', '부평', '서울', '수원']",161627,2,94,25241,2026-04-03,29,80814.0,0.37,2.13,OFF
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['대구', '부평', '수원', '창원', '천안']",1609839,37,741,166459,2026-04-16,42,43509.0,0.45,4.99,OFF
